table_name,table,labels,domain,domains,page_title,section_title,headers
231487-1,"[[[[0, 0], [372145, 'Larry Kenney']], [[1, 0], [4266556, 'Earle Hyman']], [[2, 0], [6738139, 'Earl Hammond']], [[3, 0], [5990044, 'Peter Newman']], [[4, 0], [6738079, 'Lynne Lipton']], [[5, 0], [6174015, 'Bob McFadden']], [[6, 0], [32926802, 'Gerrianne Raphael']], [[7, 0], [19218134, 'Doug Preis']]]]",[['tv.tv_actor']],film,"{'film', 'tv', 'people'}",thundercats (1985 tv series),cast,['voice actor']
2314934-1,"[[[[0, 0], [226949, 'CNBC Asia']], [[1, 0], [7633683, 'Nikkei CNBC']], [[2, 0], [226947, 'CNBC Europe']], [[3, 0], [8093565, 'CNBC-TV18']], [[4, 0], [3165094, 'CNBC Pakistan']], [[5, 0], [2369271, 'CNBC-e']], [[6, 0], [11848389, 'Class-CNBC']], [[7, 0], [9283937, 'CNBC Africa']], [[8, 0], [1998370, 'CNBC Arabiya']], [[9, 0], [25584472, 'SBS-CNBC']]]]","[['broadcast.broadcast', 'organization.organization']]",broadcast,"{'broadcast', 'organization'}",power lunch,worldwide,['channel']
2315080-1,"[[[[0, 0], [226947, 'CNBC Europe']], [[1, 0], [226947, 'CNBC Europe']], [[2, 0], [2369271, 'CNBC-e']], [[3, 0], [8093565, 'CNBC-TV18']], [[4, 0], [7633683, 'Nikkei CNBC']], [[5, 0], [11848389, 'Class-CNBC']], [[6, 0], [11848389, 'Class-CNBC']], [[7, 0], [1998370, 'CNBC Arabiya']], [[8, 0], [25584472, 'SBS-CNBC']]]]","[['broadcast.broadcast', 'organization.organization']]",broadcast,"{'broadcast', 'organization'}",closing bell,worldwide,['channel']
23159412-1,"[[[[0, 0], [4742612, 'Canada Country Tracks ( RPM )']], [[1, 0], [18309966, 'US Billboard Hot 100']], [[2, 0], [2867196, 'US Hot Country Songs ( Billboard )']]]]",[['book.periodical']],book,{'book'},it's your song,chart positions,['chart (1998–1999)']
23161606-1,"[[[[0, 0], [4742612, 'Canada Country Tracks ( RPM )']], [[1, 0], [18309966, 'US Billboard Hot 100']], [[2, 0], [2867196, 'US Hot Country Songs ( Billboard )']]]]",[['book.periodical']],book,{'book'},go on (song),chart performance,['chart (2000)']
23161618-1,"[[[[0, 0], [69346, 'soprano']], [[2, 0], [70502, 'baritone']], [[4, 0], [70500, 'tenor']], [[7, 0], [21438575, 'bass']]]]",[['music.performance_role']],music,"{'people', 'music'}",la basoche,roles,['voice type']
23169649-1,"[[[[0, 0], [13554, 'Hamlet…the rest is silence ^']], [[1, 0], [18866, 'Macbeth ^']], [[2, 0], [25821, 'Romeo and Juliet ^']], [[3, 0], [43206, ""A Midsummer Night's Dream ^""]], [[4, 0], [65169, 'Antony and Cleopatra †']], [[5, 0], [22460, 'Othello']], [[6, 0], [55721, 'King Lear']], [[7, 0], [62654, 'The Taming of the Shrew']], [[8, 0], [23487767, 'The Tempest']]]]","[['theater.play', 'book.written_work', 'book.book']]",book,"{'theater', 'book'}","synetic theater (arlington, virginia)",silent shakespeare series,['play']
13569835-1,"[[[[0, 1], [1933261, 'Kokuei/ Shintoho']], [[14, 1], [469330, 'Nikkatsu']], [[21, 1], [1933246, 'Shochiku / Mainichi Shimbun /WoWow']], [[27, 1], [1933246, 'Shochiku']]]]","[['film.production_company', 'business.business_operation', 'organization.organization']]",film,"{'film', 'organization', 'business'}",takahisa zeze,partial filmography,['studio']
1357035-1,"[[[[0, 0], [1176603, '1080i']], [[1, 0], [1176609, '480i']], [[2, 0], [1176609, '480i']]]]",[['broadcast.radio_format']],broadcast,{'broadcast'},kytx,digital channels,['video']
13570494-1,"[[[[0, 0], [8575348, 'KTZN']], [[1, 0], [450577, 'KINY']], [[2, 0], [8618515, 'KTKN']], [[3, 0], [6679943, 'KIFW']], [[4, 0], [5060841, 'CKST']], [[5, 0], [2153845, 'KVNI']], [[6, 0], [25304483, 'KRLC']], [[7, 0], [17047827, 'KLER']], [[8, 0], [22647434, 'KTHH']], [[9, 0], [22237559, 'KTIX']], [[10, 0], [6904483, 'KFXX']], [[11, 0], [34608660, 'KBDF (FM)']], [[12, 0], [26188086, 'KXRO']], [[13, 0], [11980915, 'KPUG']], [[14, 0], [16510183, 'KELA']], [[15, 0], [4664040, 'KXLE']], [[16, 0], [17948847, 'KRKZ']], [[17, 0], [24235036, 'KLOG']], [[18, 0], [18029785, 'KWIQ']], [[19, 0], [17745781, 'KBRC']], [[20, 0], [2951908, 'KONP']], [[21, 0], [780670, 'KIRO']], [[22, 0], [4939389, 'KTTH']], [[23, 0], [20653042, 'KMAS']], [[24, 0], [2153802, 'KXLY']], [[25, 0], [15009578, 'KJOX']], [[26, 0], [10338565, 'KMTT']], [[27, 0], [22298986, 'KGDC']], [[28, 0], [15011200, 'KKRT']], [[29, 0], [17948500, 'KTCR']]], [[[0, 1], [7004698, 'Anchorage, Alaska']], [[1, 1], [87469, 'Juneau, Alaska']], [[2, 1], [105496, 'Ketchikan, Alaska']], [[3, 1], [87486, 'Sitka, Alaska']], [[4, 1], [32706, 'Vancouver , British Columbia']], [[5, 1], [110718, ""Coeur D'Alene, Idaho""]], [[6, 1], [37358, 'Lewiston, Idaho']], [[7, 1], [110670, 'Orofino, Idaho']], [[8, 1], [150979, 'Albany / Corvallis , Oregon']], [[9, 1], [130965, 'Pendleton, Oregon']], [[10, 1], [23503, 'Portland, Oregon']], [[11, 1], [130754, 'Roseburg, Oregon']], [[12, 1], [137935, 'Aberdeen, Washington']], [[13, 1], [39300, 'Bellingham, Washington']], [[14, 1], [138077, 'Centralia / Chehalis , Washington']], [[15, 1], [9621, 'Ellensburg, Washington']], [[16, 1], [137847, 'Forks, Washington']], [[17, 1], [137887, 'Kelso, Washington']], [[18, 1], [137928, 'Moses Lake, Washington']], [[19, 1], [138185, 'Mount Vernon, Washington']], [[20, 1], [137849, 'Port Angeles, Washington']], [[21, 1], [11388236, 'Seattle , Washington ( Flagship station )']], [[22, 1], [11388236, 'Seattle , Washington (When Seahawks games are on KIRO)']], [[23, 1], [138097, 'Shelton, Washington']], [[24, 1], [138268, 'Spokane, Washington']], [[25, 1], [57632, 'Tri-Cities, Washington']], [[26, 1], [18592743, 'Vancouver, Washington']], [[27, 1], [138300, 'Walla Walla, Washington']], [[28, 1], [137842, 'Wenatchee, Washington']], [[29, 1], [78146, 'Yakima, Washington']]]]","[['broadcast.radio_station', 'broadcast.broadcast'], ['location.citytown', 'location.location']]",broadcast,"{'broadcast', 'location'}",seattle mariners radio network,stations,"['callsign', 'location']"
1357330-1,"[[[[0, 0], [23245556, 'Best Actress']], [[1, 0], [21547166, 'Golden Bear']], [[2, 0], [15833508, 'Silver Bear for Best Actress']], [[3, 0], [186068, 'Best Actress - Motion Picture Drama']]], [[[0, 1], [62666, 'Michelle Pfeiffer']], [[1, 1], [7822513, 'Jonathan Kaplan']], [[2, 1], [62666, 'Michelle Pfeiffer']], [[3, 1], [62666, 'Michelle Pfeiffer']]]]","[['award.award_category'], ['film.producer']]",film,"{'film', 'award', 'people'}",love field (film),awards and nominations,"['award', 'nominee']"
13583283-1,"[[[[0, 0], [1816132, 'Tian Zhuangzhuang']], [[1, 0], [1816132, 'Tian Zhuangzhuang']], [[2, 0], [1816132, 'Tian Zhuangzhuang']], [[4, 0], [21168294, 'Wu Ziniu']], [[5, 0], [1816132, 'Tian Zhuangzhuang']], [[6, 0], [2612735, 'Yim Ho']], [[7, 0], [21168294, 'Wu Ziniu']], [[8, 0], [21832741, 'He Qun']], [[9, 0], [2732254, 'Xie Jin']], [[10, 0], [11277239, 'Sherwood Hu']], [[11, 0], [156198, 'Zhang Yimou']], [[12, 0], [156198, 'Zhang Yimou']], [[13, 0], [156198, 'Zhang Yimou']], [[14, 0], [156198, 'Zhang Yimou']], [[16, 0], [11277239, 'Sherwood Hu']]]]",[['film.director']],film,"{'film', 'people'}",hou yong (cinematographer),as cinematographer,['director']
13589741-2,"[[[[0, 0], [5161784, 'Jam 88.3']], [[1, 0], [5104305, 'Wave 89.1']], [[2, 0], [5059933, 'Magic 89.9']], [[3, 0], [5150281, '90.7 Love Radio']], [[4, 0], [5200851, '91.5 Big Radio']], [[5, 0], [5161870, 'Radyo5 92.3 News FM']], [[6, 0], [5103732, 'Monster Radio RX 93.1']], [[7, 0], [5104100, '93.9 iFM']], [[8, 0], [7266315, 'Mellow 947']], [[9, 0], [13491391, 'Pinas FM 95.5']], [[10, 0], [3838988, '96.3 Easy Rock']], [[11, 0], [3816623, 'Barangay LS 97.1']], [[12, 0], [4543297, '97dot9 Home Radio']], [[13, 0], [5150519, ""98.7 The Master's Touch""]], [[14, 0], [5161671, '99.5 Play FM']], [[15, 0], [5150204, 'RJ 100']], [[16, 0], [5150336, '101.1 Yes FM']], [[17, 0], [2444608, 'MOR 101.9 For Life!']], [[18, 0], [5150164, '102.7 Star FM']], [[19, 0], [5162606, '103.5 K-Lite FM']], [[20, 0], [5507172, '104.3 Business Radio']], [[21, 0], [5163245, '105.1 Crossover']], [[22, 0], [5163346, 'Radio High 105.9']], [[23, 0], [5163392, '106.7 Energy FM']], [[24, 0], [29536349, '107.5 Win Radio']]], [[[0, 1], [72340, 'Metro Manila']], [[1, 1], [72340, 'Metro Manila']], [[2, 1], [72340, 'Metro Manila']], [[3, 1], [72340, 'Metro Manila']], [[4, 1], [72340, 'Metro Manila']], [[5, 1], [72340, 'Metro Manila']], [[6, 1], [72340, 'Metro Manila']], [[7, 1], [72340, 'Metro Manila']], [[8, 1], [72340, 'Metro Manila']], [[9, 1], [72340, 'Metro Manila']], [[10, 1], [72340, 'Metro Manila']], [[11, 1], [72340, 'Metro Manila']], [[12, 1], [72340, 'Metro Manila']], [[13, 1], [72340, 'Metro Manila']], [[14, 1], [72340, 'Metro Manila']], [[15, 1], [72340, 'Metro Manila']], [[16, 1], [72340, 'Metro Manila']], [[17, 1], [72340, 'Metro Manila']], [[18, 1], [72340, 'Metro Manila']], [[19, 1], [72340, 'Metro Manila']], [[20, 1], [72340, 'Metro Manila']], [[21, 1], [72340, 'Metro Manila']], [[22, 1], [72340, 'Metro Manila']], [[23, 1], [72340, 'Metro Manila']], [[24, 1], [72340, 'Metro Manila']]]]","[['broadcast.radio_station', 'broadcast.broadcast'], ['location.administrative_division', 'location.location']]",broadcast,"{'broadcast', 'location'}",list of radio stations in metro manila,fm stations,"['name', 'covered location']"
13591442-1,"[[[[0, 0], [4742612, 'Canada Country Tracks ( RPM )']], [[1, 0], [18309966, 'US Billboard Hot 100']], [[2, 0], [2867196, 'US Hot Country Songs ( Billboard )']]]]",[['book.periodical']],book,{'book'},yes! (song),peak positions,['chart (2000)']
13592743-1,"[[[[0, 1], [332442, 'Independent']], [[1, 1], [156725, 'Warp Records / Paper Bag Records']], [[2, 1], [156725, 'Warp Records / Paper Bag Records']], [[3, 1], [4451356, 'Yep Roc Records / Paper Bag Records']]]]","[['music.record_label', 'business.business_operation', 'organization.organization']]",music,"{'business', 'organization', 'music'}",born ruffians,studio albums,['label']
13595192-1,"[[[[0, 0], [5221426, 'haute-contre']], [[1, 0], [180149, 'mezzo-soprano']], [[2, 0], [69346, 'soprano']], [[3, 0], [70500, 'tenor']], [[6, 0], [70502, 'baritone']], [[10, 0], [21438575, 'bass']]]]",[['music.performance_role']],music,{'music'},gli amori d'apollo e di dafne,roles,['voice type']
1359577-1,"[[[[0, 0], [399100, 'Martin Seamus ""Marty"" McFly']], [[1, 0], [2207150, 'Dr. Emmett Lathrop ""Doc"" Brown']], [[2, 0], [486851, 'Biff Tannen']], [[4, 0], [5299314, 'Lorraine Baines-McFly']], [[5, 0], [5299314, 'George Douglas McFly']], [[6, 0], [5299314, 'Jennifer Parker']], [[7, 0], [5299314, 'Dave McFly']], [[8, 0], [5299314, 'Linda McFly']], [[9, 0], [5299314, 'Gerald Strickland']], [[10, 0], [5299314, 'Einstein']], [[12, 0], [5299314, '3-D']], [[13, 0], [5299314, 'Match']], [[14, 0], [5299314, 'Skinhead']], [[15, 0], [5299314, 'Douglas J. Needles']], [[17, 0], [5299314, 'Marlene McFly']], [[18, 0], [5299314, 'Griff']], [[19, 0], [5299314, 'Seamus McFly']], [[20, 0], [5299314, 'Maggie McFly']], [[22, 0], [5299314, 'Clara Clayton']], [[23, 0], [5299314, 'Jules Eratosthenes Brown']], [[24, 0], [5299314, 'Verne Newton Brown']], [[25, 0], [5299314, 'Buford ""Mad Dog"" Tannen']], [[27, 0], [5299314, 'Chief Marshal James Strickland']]], [[[0, 1], [68904, 'Michael J. Fox']], [[1, 1], [256406, 'Christopher Lloyd']], [[2, 1], [273626, 'Thomas F. Wilson']], [[4, 1], [399162, 'Lea Thompson']], [[5, 1], [399146, 'Crispin Glover']], [[6, 1], [987194, 'Claudia Wells']], [[7, 1], [2162415, 'Marc McClure']], [[8, 1], [3288349, 'Wendie Jo Sperber']], [[9, 1], [2162574, 'James Tolkan']], [[12, 1], [2123743, 'Casey Siemaszko']], [[13, 1], [323983, 'Billy Zane']], [[14, 1], [8335931, 'J.J. Cohen']]], [[[0, 2], [68904, 'Michael J. Fox']], [[1, 2], [256406, 'Christopher Lloyd']], [[2, 2], [273626, 'Thomas F. Wilson']], [[4, 2], [399162, 'Lea Thompson']], [[5, 2], [3306471, 'Jeffrey Weissman Crispin Glover (archive footage)']], [[6, 2], [508014, 'Elisabeth Shue']], [[9, 2], [2162574, 'James Tolkan']], [[12, 2], [2123743, 'Casey Siemaszko']], [[13, 2], [323983, 'Billy Zane']], [[14, 2], [8335931, 'J.J. Cohen']], [[15, 2], [22439395, 'Flea']]], [[[0, 3], [68904, 'Michael J. Fox']], [[1, 3], [256406, 'Christopher Lloyd']], [[2, 3], [273626, 'Thomas F. Wilson']], [[4, 3], [399162, 'Lea Thompson']], [[6, 3], [508014, 'Elisabeth Shue']], [[8, 3], [3288349, 'Wendie Jo Sperber']], [[15, 3], [22439395, 'Flea']], [[22, 3], [155915, 'Mary Steenburgen']], [[27, 3], [2162574, 'James Tolkan']]]]","[['film.film_character', 'fictional_universe.fictional_character'], ['tv.tv_actor'], ['tv.tv_actor'], ['tv.tv_actor']]",film,"{'film', 'tv', 'fictional_universe', 'people'}",back to the future (franchise),cast,"['character character', 'feature film back to the future', 'feature film back to the future part ii', 'feature film back to the future part iii']"
1359577-2,"[[[[0, 1], [213266, 'Robert Zemeckis']], [[1, 1], [213266, 'Robert Zemeckis']], [[2, 1], [213266, 'Robert Zemeckis']]], [[[0, 2], [9335512, 'Neil Canton Bob Gale']], [[1, 2], [9335512, 'Neil Canton Bob Gale']], [[2, 2], [9335512, 'Neil Canton Bob Gale']]], [[[0, 3], [26940, 'Steven Spielberg Kathleen Kennedy Frank Marshall']], [[1, 3], [26940, 'Steven Spielberg Kathleen Kennedy Frank Marshall']], [[2, 3], [26940, 'Steven Spielberg Kathleen Kennedy Frank Marshall']]], [[[0, 4], [5775614, 'Dean Cundey']], [[1, 4], [5775614, 'Dean Cundey']], [[2, 4], [5775614, 'Dean Cundey']]], [[[0, 6], [509738, 'Alan Silvestri']], [[1, 6], [509738, 'Alan Silvestri']], [[2, 6], [509738, 'Alan Silvestri']]]]","[['tv.tv_producer', 'book.author', 'tv.tv_director', 'film.director', 'film.producer', 'film.writer'], ['film.producer'], ['tv.tv_program_creator', 'book.author', 'tv.tv_producer', 'celebrities.celebrity', 'tv.tv_director', 'film.director', 'film.producer', 'film.writer'], ['film.director'], ['music.producer', 'broadcast.artist', 'music.group_member', 'film.music_contributor', 'music.composer']]",film,"{'film', 'celebrities', 'people', 'tv', 'royalty', 'broadcast', 'award', 'book', 'music'}",back to the future (franchise),crew,"['director', 'producers', 'executive producers', 'cinematographer', 'composer']"
13606131-1,"[[[[0, 0], [4742612, 'Canada Country Tracks ( RPM )']], [[1, 0], [18309966, 'US Billboard Hot 100']], [[2, 0], [2867196, 'US Hot Country Songs ( Billboard )']]]]",[['book.periodical']],book,{'book'},my best friend (song),peak positions,['chart (1999-2000)']
5722149-1,"[[[[0, 0], [69346, 'soprano']], [[1, 0], [70500, 'tenor']], [[2, 0], [70502, 'baritone']], [[3, 0], [21438575, 'bass']], [[4, 0], [180149, 'mezzo-soprano']]]]",[['music.performance_role']],music,"{'people', 'music'}",mireille (opera),roles,['voice type']
5724777-1,"[[[[0, 0], [38945435, 'Willie Clayton']], [[7, 0], [9515044, 'Sanjaya Malakar']], [[11, 0], [19381538, 'Jennifer Love Hewitt']]]]",[['music.group_member']],music,"{'people', 'music'}",something to talk about (bonnie raitt song),cover versions,['singer/group']
5730659-1,"[[[[0, 1], [296345, 'Pat Benatar']], [[2, 1], [18137277, 'Soul Brothers Six']], [[3, 1], [59720, 'Alicia Keys']]]]",[['broadcast.artist']],music,"{'broadcast', 'music'}",joanna pacitti,performances,['original artist']
573876-2,"[[[[0, 1], [1004037, 'Holopainen']], [[1, 1], [1004037, 'Holopainen']], [[2, 1], [1004037, 'Holopainen & Vuorinen']], [[3, 1], [1004037, 'Holopainen']], [[4, 1], [1004037, 'Holopainen']], [[5, 1], [1004037, 'Holopainen']], [[6, 1], [1004037, 'Holopainen & Vuorinen']], [[7, 1], [1004037, 'Holopainen & Vuorinen']], [[8, 1], [1004037, 'Holopainen']], [[9, 1], [1004037, 'Holopainen']], [[10, 1], [1004037, 'Holopainen']], [[11, 1], [1004037, 'Holopainen']]]]","[['music.producer', 'music.group_member', 'music.lyricist', 'music.composer']]",music,"{'film', 'people', 'music'}",wishmaster (album),track listing,['writers']
573894-2,"[[[[0, 0], [280636, '""Over the Hills and Far Away"" ( Gary Moore Cover)']], [[1, 0], [2700696, '""10th Man Down"" (feat. Tapio Wilska )']], [[3, 0], [1919799, '""Astral Romance"" (re-recorded) (feat. Tony Kakko )']]], [[[0, 1], [280636, 'Gary Moore']], [[1, 1], [1004037, 'Holopainen']], [[2, 1], [1004037, 'Holopainen']], [[3, 1], [1004037, 'Holopainen']]]]","[['music.group_member', 'music.lyricist'], ['music.producer', 'music.group_member', 'music.lyricist', 'music.composer']]",music,"{'film', 'people', 'music'}",over the hills and far away (album),track listing,"['title', 'writers']"
5745031-1,"[[[[0, 1], [3893139, 'Released: October 11, 1994 (US) Label: Immortal , Epic Formats: CD , cassette , LP , digital download']], [[6, 1], [93767, 'Released: December 6, 2005 (US) Label: Virgin Formats: CD, LP, digital download']], [[8, 1], [400095, 'Released: July 13, 2010 (US) Label: Roadrunner Formats: CD, LP, digital download']], [[10, 1], [32426395, 'Released: October 8, 2013 (US) Label: Prospect Park , Caroline Formats: CD, LP, digital download']]], [[[0, 2], [18949819, 'RIAA : 2× Platinum ARIA : Platinum BPI : Gold']], [[1, 2], [470666, 'RIAA: 2× Platinum ARIA: Platinum BPI: Gold MC : Gold']], [[2, 2], [12278546, 'RIAA: 5× Platinum ARIA: 3× Platinum BPI: Gold MC: 3× Platinum NVPI : Gold RMNZ : Platinum']], [[3, 2], [26541290, 'RIAA: 3× Platinum ARIA: 2× Platinum BPI: Gold BVMI : Gold MC: 2× Platinum NVPI: Gold RMNZ: Platinum']]]]","[['music.record_label', 'business.business_operation', 'organization.organization'], ['organization.organization']]",music,"{'business', 'organization', 'music'}",korn discography,studio albums,"['album details album details', 'certifications certifications']"
5745228-1,"[[[[0, 0], [4742612, 'Canada Country Tracks ( RPM )']], [[1, 0], [18309966, 'US Billboard Hot 100']], [[2, 0], [2867196, 'US Hot Country Songs ( Billboard )']]]]",[['book.periodical']],book,{'book'},i swear,charts,['chart (1994)']
5751823-5,"[[[[0, 0], [4689264, 'Australia']], [[1, 0], [3343, 'Belgium']], [[2, 0], [5843419, 'France']], [[3, 0], [11867, 'Germany']], [[4, 0], [147575, 'Ireland']], [[5, 0], [4913064, 'New Zealand']], [[6, 0], [31717, 'United Kingdom']]], [[[0, 1], [2104415, 'CD single , digital download']], [[1, 1], [2104415, 'CD single , digital download']], [[2, 1], [2104415, 'CD single , digital download']], [[3, 1], [2104415, 'CD single , digital download']], [[4, 1], [2104415, 'CD single , digital download']], [[5, 1], [2104415, 'CD single , digital download']], [[6, 1], [2104415, 'CD single , digital download']]], [[[0, 2], [974663, 'V2 Records']], [[1, 2], [974663, 'V2 Records']], [[2, 2], [974663, 'V2 Records']], [[3, 2], [974663, 'V2 Records']], [[4, 2], [974663, 'V2 Records']], [[5, 2], [974663, 'V2 Records']], [[6, 2], [974663, 'V2 Records']]]]","[['location.location'], ['music.media_format'], ['music.record_label', 'business.business_operation', 'organization.organization']]",music,"{'business', 'organization', 'location', 'music'}",a night to remember (shalamar song),release history,"['country', 'format', 'label']"
575674-2,"[[[[3, 1], [523032, 'Kanye West']], [[4, 1], [523032, 'Kanye West']], [[8, 1], [523032, 'Kanye West']], [[9, 1], [55523, 'R. Kelly']], [[10, 1], [2006121, 'Wildstyle of Crucial Conflict']], [[14, 1], [8588535, 'Red Spyda']], [[15, 1], [23036795, 'D-Roy & Mr.B and Mike Caren']]]]",[['music.producer']],music,"{'people', 'music'}",kamikaze (album),track listing,['producer(s)']
5756948-1,"[[[[0, 0], [4248927, 'Precededby Hiroyuki Iwaki']], [[1, 0], [905034, 'Precededby James Conlon']], [[2, 0], [9257855, 'Precededby Jaap van Zweden']]]]",[['music.group_member']],music,"{'people', 'music'}",markus stenz,external links,['precededby paul crossley']
25762726-1,"[[[[0, 0], [16615322, 'DWBL 1242']], [[1, 0], [7266315, 'Mellow 947']], [[2, 0], [6689373, 'Mellow 887']], [[3, 0], [19774868, 'Mellow 957']], [[4, 0], [25762726, 'Mellow 947 Davao']]], [[[0, 1], [72340, 'Metro Manila']], [[1, 1], [72340, 'Metro Manila']], [[2, 1], [1356946, 'Iloilo City']], [[3, 1], [25040821, 'Cagayan de Oro']], [[4, 1], [489401, 'Davao City']]]]","[['broadcast.radio_station', 'broadcast.broadcast'], ['location.location']]",broadcast,"{'broadcast', 'location'}",dxll,fbs radio stations,"['branding', 'location']"
25762896-2,"[[[[0, 0], [1102461, 'The Wire']], [[1, 0], [672448, 'Alternative Press']], [[2, 0], [6976638, 'Terrorizer']]]]",[['book.periodical']],book,{'book'},evanescence (scorn album),accolades,['publication']
25768967-2,"[[[[0, 0], [1071662, 'Sony Music']], [[1, 0], [1071662, 'Sony Music']], [[4, 0], [4368515, 'Legacy Recordings']], [[5, 0], [4368515, 'Legacy Recordings']]]]","[['music.record_label', 'business.business_operation', 'organization.organization']]",music,"{'business', 'organization', 'music'}",valleys of neptune,release details,['label']
25769564-3,"[[[[0, 0], [1476749, 'Best Supporting Actress']], [[1, 0], [186068, 'Best Actress – Drama']], [[2, 0], [186067, 'Best Actress – Musical or Comedy']]]]",[['award.award_category']],film,"{'tv', 'film', 'award', 'people'}",list of awards and nominations received by julianne moore,golden globe awards,['category']
2577664-1,"[[[[0, 1], [1039556, 'Patrice Leconte']], [[1, 1], [1877540, 'Gérard Jugnot']], [[2, 1], [2853988, 'Coline Serreau']], [[3, 1], [22947269, 'Roger Planchon']], [[4, 1], [21038656, 'Claire Devers']], [[5, 1], [1039556, 'Patrice Leconte']], [[6, 1], [22194198, 'Jean-Michel Ribes']], [[7, 1], [48304944, 'Marion Vernoux']], [[8, 1], [1277748, 'Claude Sautet']], [[9, 1], [25295113, 'Jean-Pierre Améris']], [[10, 1], [8986566, 'Camille de Casabianca']], [[11, 1], [12408863, 'Gabriel Aghion']], [[12, 1], [1877540, 'Gérard Jugnot']], [[13, 1], [23752701, 'Francis Girod']], [[14, 1], [20615929, 'Gérard Lauzier']], [[15, 1], [11276938, 'Alain Berliner']], [[16, 1], [36817687, 'James Huth']], [[18, 1], [1919136, 'Francis Veber']], [[19, 1], [47678769, 'Florence Quentin']], [[21, 1], [12408863, 'Gabriel Aghion']], [[22, 1], [8275918, 'Diane Kurys']], [[23, 1], [28958038, 'Lisa Azuelos']], [[24, 1], [15200776, 'Dany Boon']], [[26, 1], [36990205, 'Isabelle Mergault']], [[27, 1], [4821028, 'Eric-Emmanuel Schmitt']], [[28, 1], [16348481, 'Kad Merad']]]]",[['film.director']],film,"{'film', 'people'}",michèle laroque,filmography,['director']
15444378-1,"[[[[0, 0], [294664, 'Faye Wong']], [[1, 0], [1137796, 'Aaron Kwok']], [[2, 0], [18101424, 'Cass Phang']], [[3, 0], [454173, 'Jacky Cheung']], [[4, 0], [1262769, 'Andy Hui']], [[5, 0], [426799, 'Sally Yeh']], [[7, 0], [2054639, 'Shirley Kwan']], [[8, 0], [232009, 'Leon Lai']], [[9, 0], [310210, 'Andy Lau']], [[10, 0], [1870553, 'Eric Moo']], [[11, 0], [2183235, 'Wakin Chau']]]]",[['music.group_member']],music,"{'people', 'music'}",1994 jade solid gold best ten music awards presentation,top 10 song awards,['artist']
15445189-1,"[[[[0, 0], [2183235, 'Emil Chau']], [[1, 0], [1137796, 'Aaron Kwok']], [[2, 0], [252707, 'Sammi Cheng']], [[3, 0], [232009, 'Leon Lai']], [[4, 0], [463691, 'Priscilla Chan']], [[5, 0], [310210, 'Andy Lau']], [[6, 0], [1820160, 'Anthony Wong']], [[7, 0], [454173, 'Jacky Cheung']], [[8, 0], [18101424, 'Cass Phang']]]]",[['music.group_member']],music,"{'people', 'music'}",1995 jade solid gold best ten music awards presentation,top 10 song awards,['artist']
154584-1,"[[[[0, 0], [152214, 'Resolved. Proven to be impossible to prove or disprove within the Zermelo–Fraenkel set theory with or without the Axiom of Choice (provided the Zermelo–Fraenkel set theory with or without the Axiom of Choice is consistent, i.e., contains no two theorems such that one is a negation of the other). There is general consensus that this solves the problem, although there have been proposals which would give a definitive truth value (see Ω-logic ).']], [[1, 0], [16736, ""There is no consensus on whether results of Gödel and Gentzen give a solution to the problem as stated by Hilbert. Gödel's second incompleteness theorem , proved in 1931, shows that no proof of its consistency can be carried out within arithmetic itself. Gentzen proved in 1936 that the consistency of arithmetic follows from the well-foundedness of the ordinal ε 0 .""]], [[2, 0], [152703, 'Resolved. Result: no, proved using s Dehn invariant .']], [[4, 0], [4244871, 'Resolved by Andrew Gleason , depending on how the original statement is interpreted. If, however, it is understood as an equivalent of the Hilbert–Smith conjecture , it is still unsolved.']], [[6, 0], [609487, ""Resolved. Result: yes, illustrated by Gelfond's theorem or the Gelfond–Schneider theorem .""]], [[9, 0], [101700, ""Resolved. Result: impossible, Matiyasevich's theorem implies that there is no such algorithm.""]], [[12, 0], [32490, 'The problem was partially solved by Vladimir Arnold based on work by Andrei Kolmogorov .']], [[13, 0], [3086117, 'Resolved. Result: no, counterexample was constructed by Masayoshi Nagata .']], [[16, 0], [245351, 'Resolved. Result: yes, due to Emil Artin . Moreover, an upper limit was established for the number of square terms necessary.[ citation needed ]']], [[17, 0], [2840305, '(a) Resolved. Result: yes (by Karl Reinhardt). (b) Widely believed to be resolved, by computer-assisted proof (by Thomas Callister Hales ). Result: Highest density achieved by close packings , each with density approximately 74%, such as cubic close packing and hexagonal close packing.[ citation needed ]']], [[18, 0], [1752401, 'Resolved. Result: yes, proven by Ennio de Giorgi and, independently and using different methods, by John Forbes Nash .']]]]",[['book.author']],book,"{'people', 'book'}",hilbert's problems,table of problems,['status']
15460517-1,"[[[[0, 0], [1137796, 'Aaron Kwok']], [[1, 0], [18101424, 'Cass Phang']], [[2, 0], [252707, 'Sammi Cheng']], [[3, 0], [2277100, 'Edmond Leung']], [[4, 0], [454173, 'Jacky Cheung']], [[5, 0], [463691, 'Priscilla Chan']], [[6, 0], [232009, 'Leon Lai']], [[7, 0], [612979, 'Kelly Chen']], [[8, 0], [310210, 'Andy Lau']], [[9, 0], [1595968, 'Ekin Cheng']]]]",[['music.group_member']],music,"{'people', 'music'}",1996 jade solid gold best ten music awards presentation,top 10 song awards,['artist']
